FMA, SNOMED-CT Code
8175,59558009
8256,24915002
8229,24915002
8310,5953002
8283,5953002
8391,22565002
8364,22565002
8472,77644006
8445,77644006
8532,58830002
8531,58830002
8534,43993008
8533,43993008
7163,39937001
8534,1193560003
8533,1193560003
20429,48014002
13396,79601000
13395,79601000
286702,789564000
45797,76838003
45796,76838003
57419,55060009
57418,55060009
15710,41178004
57717,15924003
57716,15924003
9680,61853006
54708,24999009
54707,24999009
7647,2748008
71166,54785003
71168,60051002
46565,89546000
256623,11478001
71167,50800009
19617,25270003
52751,22718006
7148,69695003
242787,8997002
9721,13024002
46900,70567001
7210,40689003
83720,37554007
5031,1732005
7196,78961009
15841,35378004
54640,21974007
74049,22718006
74048,22718006
54645,47975008
54644,61344008
281502,61344008
7394,44567001
264814,87953007
19667,13648007
7212,40689003
7211,40689003
17558,35039007
4838,72107004
4761,8887007
4751,8887007
18886,63507001
18885,63507001
18810,40300007
281500,61344008
9609,75573002
18809,40300007
21387,46027005
17888,87953007
17887,87953007
21388,46027005
13112,71585003
13111,71585003
4754,12123001
4762,12123001
66645,32764006
66643,430757002
4725,9454009
10951,35532006
4720,35532006
19949,76784001
7235,91134007
7246,39057004
7234,46030003
7100,21814001
7101,21814001
7098,21814001
4763,9454009
4755,9454009
323919,46105003
20462,45292006
19971,263355003
256135,38266002
55099,52940008
7236,34202007
24043,1172006
72063,3572006
12519,14806007
12520,39976000
12521,91116008
12522,14705001
12523,67479001
12524,88298007
12525,16126006
72065,73903008
13072,61032001
13073,53983007
13074,55492004
13075,71996003
13076,21799000
12526,87141009
13077,65985001
13078,11808007
13079,49967005
13080,69950008
13081,21452006
9139,35769007
9165,56094003
9187,50060007
9209,73138009
9248,86197001
9922,6105006
9945,32430008
9968,71737002
9991,77435000
10014,33766003
10037,48405002
10059,52120002
10081,280849005
missing,1186895000
11945,3572006
56429,1187337007
54368,35763008
55459,46105003
55458,46105003
missing,1187336003
9710,87166008
54683,24999009
